LobbyingEntity,DateRange,Date,LobbyistName,RecipientName,OfficeSought,Amount
"ML Strategies, LLC",01/01/2020 - 06/30/2020,03/05/2020,Steven A. Baddour,Jon Santiago,House,$100.00
"ML Strategies, LLC",01/01/2020 - 06/30/2020,03/05/2020,Steven A. Baddour,Susan Moran,Senate,$100.00
"ML Strategies, LLC",01/01/2020 - 06/30/2020,03/05/2020,Steven A. Baddour,John Velis,Senate,$100.00
"ML Strategies, LLC",01/01/2020 - 06/30/2020,03/05/2020,Steven A. Baddour,Denise Garlick,House,$200.00
"ML Strategies, LLC",01/01/2020 - 06/30/2020,03/05/2020,Steven A. Baddour,Jon Santiago,House,$100.00
"ML Strategies, LLC",01/01/2020 - 06/30/2020,03/05/2020,Steven A. Baddour,Susan Moran,Senate,$100.00
"ML Strategies, LLC",01/01/2020 - 06/30/2020,03/05/2020,Steven A. Baddour,John Velis,Senate,$100.00
Beacon Hill Consulting Group,07/01/2020 - 12/31/2020,07/30/2020,John C Bartley,CTE Roy,State Representative,$200.00
Beacon Hill Consulting Group,07/01/2020 - 12/31/2020,07/30/2020,John C Bartley,CTE Michlewitz,State Representative,$200.00
Beacon Hill Consulting Group,07/01/2020 - 12/31/2020,07/30/2020,John C Bartley,CTE Donato,State Representative,$200.00
Beacon Hill Consulting Group,07/01/2020 - 12/31/2020,07/30/2020,John C Bartley,CTE Honan,State Representative,$200.00
Beacon Hill Consulting Group,07/01/2020 - 12/31/2020,09/16/2020,John C Bartley,CTE Puppolo,State Representative,$200.00
Beacon Hill Consulting Group,07/01/2020 - 12/31/2020,09/21/2020,John C Bartley,CTE Dooley,State Representative,$200.00
Beacon Hill Consulting Group,07/01/2020 - 12/31/2020,09/23/2020,John C Bartley,CTE O'Connor,State Senate,$200.00
Beacon Hill Consulting Group,07/01/2020 - 12/31/2020,12/04/2020,John C Bartley,CTE Feeney,State Senate,$200.00
Beacon Hill Consulting Group,07/01/2020 - 12/31/2020,12/10/2020,John C Bartley,CTE Finn,State Representative,$200.00
Beacon Hill Consulting Group,07/01/2020 - 12/31/2020,12/24/2020,John C Bartley,CTE Straus,State Representative,$200.00
Beacon Hill Consulting Group,07/01/2020 - 12/31/2020,12/29/2020,John C Bartley,CTE Chan,State Representative,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,01/22/2020,John C Bartley,CTE PIGNATELLI,State Representative,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,01/28/2020,John C Bartley,CTE CYR,State Senate,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,01/29/2020,John C Bartley,CTE WELCH,State Senate,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,03/04/2020,John C Bartley,CTE Walsh,"Mayor, City of Boston",$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,03/04/2020,John C Bartley,CTE Dave Rogers,State Representative,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,03/05/2020,John C Bartley,CTE Lawn,State Representative,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,03/05/2020,John C Bartley,CTE Santiago,State Representative,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,03/10/2020,John C Bartley,CTE Garlick,State Representative,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,03/25/2020,John C Bartley,CTE Decker,State Representative,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,04/03/2020,John C Bartley,CTE Rodrigues,State Senate,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,05/20/2020,John C Bartley,CTE Cronin,State Representative,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,05/20/2020,John C Bartley,CTE Tom Stanley,State Representative,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,05/26/2020,John C Bartley,CTE Meg Kilcoyne,State Representative,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,06/05/2020,John C Bartley,CTE Dan Ryan,State Representative,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,06/11/2020,John C Bartley,CTE Lessor,State Senate,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,06/11/2020,John C Bartley,CTE Adam Hinds,State Senate,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,06/22/2020,John C Bartley,CTE Bud Williams,State Representative,$200.00
Beacon Hill Consulting Group,01/01/2020 - 06/30/2020,06/23/2020,John C Bartley,CTE Velis,State Senate,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,08/03/2020,David Cahill,Ryan Fattman,Senate,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,08/13/2020,David Cahill,RAM PAC,House and Senate,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,09/23/2020,David Cahill,Patric O’Connor,Senate,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,10/01/2020,David Cahill,Tom Golden,House,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,10/05/2020,David Cahill,Patrick Kearney,House,$100.00
RAI Services Company,07/01/2020 - 12/31/2020,10/14/2020,David Cahill,John Velis,Senate,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,12/05/2020,David Cahill,Robert Sullivan,Mayor Brockton,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,12/10/2020,David Cahill,Tackey Chan,House,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,08/10/2020,Robert P Rodophele,Committee To Re-Elect Kevin Honan,REPRESENTATIVE 17th SUFFOLK,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,08/10/2020,Robert P Rodophele,Committee To Re-Elect Harriete Chandler,SENATE First Worcester,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,09/11/2020,Robert P Rodophele,The Jones Committee,REPRESENTATIVE 20th Middlesex,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,09/16/2020,Robert P Rodophele,Committee To Elect Meaghan Kilcoyne,REPRESENTATIVE 12th Worcester,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,09/28/2020,Robert P Rodophele,Committee To Re-Elect Hannah Kane,REPRESENTATIVE 11th Worcester,$125.00
RAI Services Company,07/01/2020 - 12/31/2020,09/28/2020,Robert P Rodophele,Joan Meschino Committee,REPRESENTATIVE 3rd Plymouth,$150.00
RAI Services Company,07/01/2020 - 12/31/2020,09/28/2020,Robert P Rodophele,Committee To Elect Angelo Puppolo Jr.,REPRESENTATIVE 12th Hampden,$150.00
RAI Services Company,07/01/2020 - 12/31/2020,10/24/2020,Robert P Rodophele,Committee To Elect Jim Arciero,REPRESENTATIVE 2nd Middlesex,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,12/18/2020,Robert P Rodophele,Committee To Elect Michael J. Finn,REPRESENTATIVE 6th Hampton,$100.00
RAI Services Company,07/01/2020 - 12/31/2020,07/10/2020,Stephen Bokanski,"Fattman, Ryan",State Senator,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,07/13/2020,Stephen Bokanski,"Donato, Paul",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,07/13/2020,Stephen Bokanski,"Ryan, Dan",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,07/13/2020,Stephen Bokanski,"Parisella, Jerry",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,07/21/2020,Stephen Bokanski,"Cassidy, Gerry",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,08/08/2020,Stephen Bokanski,"Lawn, John",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,08/08/2020,Stephen Bokanski,"Hinds, Adam",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,08/08/2020,Stephen Bokanski,"Barrett, John",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,08/08/2020,Stephen Bokanski,"McGonagle, Joe",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,08/08/2020,Stephen Bokanski,"Moran, F.",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,08/18/2020,Stephen Bokanski,"Coppinger, Ed",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,08/18/2020,Stephen Bokanski,"Moore, Michael",State Senator,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,08/18/2020,Stephen Bokanski,"Mahoney, John",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,08/18/2020,Stephen Bokanski,"Murphy, James",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,09/02/2020,Stephen Bokanski,"Ferrante, Ann-Margaret",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,09/02/2020,Stephen Bokanski,"Tucker, Paul",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,09/02/2020,Stephen Bokanski,"Arciero, James",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,09/10/2020,Stephen Bokanski,"Jones, Brad",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,09/10/2020,Stephen Bokanski,"Fattman, Stephanie",Register of Probate,$100.00
RAI Services Company,07/01/2020 - 12/31/2020,09/17/2020,Stephen Bokanski,"Meschino, Joan",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,09/17/2020,Stephen Bokanski,"Wagner, Jospeh",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,09/21/2020,Stephen Bokanski,"Mariano, Ronald",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,09/21/2020,Stephen Bokanski,"Golden, Thomas",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,09/22/2020,Stephen Bokanski,"O'Connor, Patrick",State Senator,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,09/23/2020,Stephen Bokanski,"Tarr, Bruce",State Senator,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,12/01/2020,Stephen Bokanski,"Rush, Michael",State Senator,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,12/01/2020,Stephen Bokanski,"Chan, Tackey",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,12/07/2020,Stephen Bokanski,"Michlewitz, Aaron",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,12/07/2020,Stephen Bokanski,"Sullivan, Bob","Mayor, City of Brockton",$200.00
RAI Services Company,07/01/2020 - 12/31/2020,12/07/2020,Stephen Bokanski,"Finn, Michael",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,12/10/2020,Stephen Bokanski,"Cusack, Mark",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,12/10/2020,Stephen Bokanski,"Lovely, Joan",State Senator,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,12/10/2020,Stephen Bokanski,"Walsh, Tom",State Representative,$200.00
RAI Services Company,07/01/2020 - 12/31/2020,12/10/2020,Stephen Bokanski,"Crighton, Brendan",State Senator,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,01/28/2020,David Cahill,Julian Cyr,State Senate,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,02/06/2020,David Cahill,Michael Rodrigues,State Senate,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,03/10/2020,David Cahill,Maura Healey,Attorney General,$100.00
RAI Services Company,01/01/2020 - 06/30/2020,03/10/2020,David Cahill,Denise Garlick,State Representative,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,01/22/2020,Robert P Rodophele,Friends of Smitty Pignatelli,Rep. 4th Berkshire,$150.00
RAI Services Company,01/01/2020 - 06/30/2020,01/28/2020,Robert P Rodophele,Friends of Julian Cy,Sen. Cape and Islands,$150.00
RAI Services Company,01/01/2020 - 06/30/2020,02/12/2020,Robert P Rodophele,The Polito Committee,Lt. Governor,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,02/25/2020,Robert P Rodophele,The Lesser Committee,Sen. 1st Hampden & Hampshire,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,02/25/2020,Robert P Rodophele,Committee to Elect John Velis,Sen. 2nd Hampden & Hampshire,$150.00
RAI Services Company,01/01/2020 - 06/30/2020,02/25/2020,Robert P Rodophele,The Naughton Committee,Rep. 12th Worcester,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,02/25/2020,Robert P Rodophele,The Joe Boncore Committee,Sen. 1st Suffolk & Middlesex,$150.00
RAI Services Company,01/01/2020 - 06/30/2020,02/25/2020,Robert P Rodophele,Committee to Elect James Murphy,Rep. 4th Norfolk,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,02/25/2020,Robert P Rodophele,The Cusack Committee,Rep. 5th Norfolk,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,03/04/2020,Robert P Rodophele,Dave Rogers Committee,Rep. 24th Middlesex,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,03/10/2020,Robert P Rodophele,The Maura Healey Committee,Attorney General,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,03/10/2020,Robert P Rodophele,Friends of Denise Garlick,Rep. 13th Norfolk,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,03/11/2020,Robert P Rodophele,Committee to Elect John Lawn,Rep. 10th Middlesex,$100.00
RAI Services Company,01/01/2020 - 06/30/2020,03/11/2020,Robert P Rodophele,Friends of Mike Rush,Sen. Norfolk & Suffolk,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,06/22/2020,Robert P Rodophele,Committee to Elect Gerry Cassidy,Rep. 35th Middlesex,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,06/22/2020,Robert P Rodophele,Friends of Paul Donato,Rep. 35th Middlesex,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,06/22/2020,Robert P Rodophele,Committee to Elect Claire Cronin,Rep. 11th Plymouth,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,06/22/2020,Robert P Rodophele,Committee to Elect Dan Ryan,Rep. 2nd Suffolk,$150.00
RAI Services Company,01/01/2020 - 06/30/2020,01/28/2020,Stephen Bokanski,Julian Cyr,State Senate,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,02/06/2020,Stephen Bokanski,Michael Rodrigues,State Senate,$200.00
RAI Services Company,01/01/2020 - 06/30/2020,03/10/2020,Stephen Bokanski,Maura Healey,Attorney General,$100.00
RAI Services Company,01/01/2020 - 06/30/2020,03/10/2020,Stephen Bokanski,Denise Garlick,State Representative,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Carlo Basile,CTE Jamie Murphy,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Carlo Basile,The Cusack Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Carlo Basile,The LaNatra Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Carlo Basile,The McGonnagle Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Carlo Basile,The Robertson Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Carlo Basile,CTE Patrick Beaudry,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/24/2020,Carlo Basile,The Velis Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/24/2020,Carlo Basile,The Timility Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/30/2020,Carlo Basile,The Jones Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,08/07/2020,Carlo Basile,Committee to Elect Duff,Governor's Council,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,08/11/2020,Carlo Basile,The Collins Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,08/19/2020,Carlo Basile,CTE Brendan Crighton,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,09/16/2020,Carlo Basile,The Early Committee,District Attorney for Worcester County,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,09/24/2020,Carlo Basile,The O'Connor Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,09/29/2020,Carlo Basile,The Tyler Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,10/15/2020,Carlo Basile,The Gregoire Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,10/21/2020,Carlo Basile,The Healey Committee,Attorney General,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,11/10/2020,Carlo Basile,The Golden Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/07/2020,Carlo Basile,The Boncore Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/14/2020,Carlo Basile,Committee for a Democratic Senate,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/15/2020,Carlo Basile,The DiDomenico Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/19/2020,Carlo Basile,The Driscoll Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/19/2020,Carlo Basile,The O'Day Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/21/2020,Carlo Basile,The Vargas Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/23/2020,Carlo Basile,The Michlewitz Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/23/2020,Carlo Basile,The Mahoney Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/23/2020,Carlo Basile,The Wagner Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/23/2020,Carlo Basile,The Friedman Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,James Smith,CTE Jamie Murphy,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,James Smith,The Cusack Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,James Smith,The LaNatra Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,James Smith,The McGonnagle Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,James Smith,The Robertson Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,James Smith,CTE Patrick Beaudry,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/24/2020,James Smith,The Velis Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/24/2020,James Smith,The Timility Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/30/2020,James Smith,The Jones Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,08/07/2020,James Smith,Committee to Elect Duff,Governor's Council,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,08/11/2020,James Smith,The Collins Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,08/19/2020,James Smith,CTE Brandan Crighton,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,09/16/2020,James Smith,The Early Committee,District Attorney for Worcester County,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,09/24/2020,James Smith,The O'Connor Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,09/29/2020,James Smith,The Tyler Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,10/15/2020,James Smith,The Gregoire Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,10/21/2020,James Smith,The Healey Committee,Attorney General,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,11/10/2020,James Smith,The Golden Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/07/2020,James Smith,The Boncore Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/14/2020,James Smith,Committee for a Democratic Senate,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/15/2020,James Smith,The DiDomenico Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/19/2020,James Smith,The Driscoll Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/19/2020,James Smith,The O'Day Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/21/2020,James Smith,The Vargas Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/23/2020,James Smith,The Michlewitz Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/23/2020,James Smith,The Mahoney Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/23/2020,James Smith,The Wagner Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/23/2020,James Smith,The Friedman Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Jay Youmans,The Cusack Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Jay Youmans,The LaNatra Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Jay Youmans,The McGonnagle Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Jay Youmans,The Robertson Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Jay Youmans,CTE Patrick Beaudry,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/24/2020,Jay Youmans,The Velis Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,08/07/2020,Jay Youmans,Committee to Elect Duff,Governor's Council,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,08/11/2020,Jay Youmans,The Collins Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,08/29/2020,Jay Youmans,CTE Brendan Crighton,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,09/29/2020,Jay Youmans,The Tyler Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,10/15/2020,Jay Youmans,The Kilcoyne Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,10/15/2020,Jay Youmans,The Gregoire Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,10/21/2020,Jay Youmans,The Healey Committee,Attorney General,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,11/10/2020,Jay Youmans,The Golden Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/07/2020,Jay Youmans,The Boncore Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/19/2020,Jay Youmans,The Driscoll Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/19/2020,Jay Youmans,The O'Day Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/21/2020,Jay Youmans,The Vargas Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/23/2020,Jay Youmans,The Mahoney Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/23/2020,Jay Youmans,The Wagner Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/23/2020,Jay Youmans,The Friedman Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Jennifer Crawford,CTE Jamie Murphy,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Jennifer Crawford,The Cusack Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Jennifer Crawford,The LaNatra Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Jennifer Crawford,The McGonnagle Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Jennifer Crawford,The Robertson Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Jennifer Crawford,CTE Patrick Beaudry,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/24/2020,Jennifer Crawford,The Velis Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/24/2020,Jennifer Crawford,The Timility Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/30/2020,Jennifer Crawford,The Jones Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,08/07/2020,Jennifer Crawford,Committee to Elect Duff,Governor's Council,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,08/11/2020,Jennifer Crawford,The Collins Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,08/19/2020,Jennifer Crawford,CTE Brendan Crighton,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,09/16/2020,Jennifer Crawford,The Early Committee,District Attorney for Worcester County,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,09/24/2020,Jennifer Crawford,The O'Connor Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,09/29/2020,Jennifer Crawford,The Tyler Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,10/15/2020,Jennifer Crawford,The Gregoire Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,10/21/2020,Jennifer Crawford,The Healey Committee,Attorney General,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,11/04/2020,Jennifer Crawford,The Giannino Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,11/10/2020,Jennifer Crawford,The Golden Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/07/2020,Jennifer Crawford,The Boncore Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/14/2020,Jennifer Crawford,Committee for a Democratic Senate,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/19/2020,Jennifer Crawford,The Driscoll Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/19/2020,Jennifer Crawford,The O'Day Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,12/21/2020,Jennifer Crawford,The Vargas Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Michael Costello,CTE Jamie Murphy,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Michael Costello,The Cusack Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Michael Costello,The LaNatra Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Michael Costello,The McGonnagle Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Michael Costello,The Robertson Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/14/2020,Michael Costello,CTE Patrick Beaudry,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/24/2020,Michael Costello,The Velis Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/24/2020,Michael Costello,The Timility Committee,Senate,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,07/30/2020,Michael Costello,The Jones Committee,House,$200.00
Smith Costello & Crawford,07/01/2020 - 12/31/2020,08/07/2020,Michael Costello,Committee to Elect Duff,Governor's Council,$200.00
